"Id","Name","Geography","Geography Iso","Market cap group","ISINs","SEDOL","Latest information"
1,"Diamond Corporation","Australia","AUS","medium","AU34343243",304323,"example latest information"
2,"Bastion Banks Inc.","Denmark","DNK","small","DK324434",234544,
3,"Bulwark Bank System","Cyprus","CYP","small","CY323434",323432,
4,"Azure Financial Corp.","China","CHN","medium","CN3243443",454445,
5,"Central Financial Group","Italy","ITA","large","IT3423433",342343,
6,"Grand Summit Bank System","Australia","AUS","medium","AU34343243",304323,
7,"Domestic Banks Inc.","Denmark","DNK","large","DK324434",234544,
8,"Grand Fortune Trust Corp.","Cyprus","CYP","large","CY323434",323432,
9,"Gemstone Holdings Inc.","China","CHN","medium","CN3243443",454445,
10,"Citizens First Credit Union","Italy","ITA","large","IT3423433",342343,
11,"Edge Bank Inc.","Australia","AUS","large","AU34343243",304323,"Another example of latest information"
12,"New National Bank System","Denmark","DNK","large","DK324434",234544,
13,"Azure Financial Holdings","Cyprus","CYP","large","CY323434",323432,
14,"Life Tree Trust","China","CHN","medium","CN3243443",454445,
15,"Grand Summit Bancorp","Italy","ITA","large","IT3423433",342343,
16,"Kindred Bancorp","Australia","AUS","medium","AU34343243",304323,
17,"Springwell Banks","Denmark","DNK","medium","DK324434",234544,
18,"Free Citizen Financial Group","Cyprus","CYP","large","CY323434",323432,
19,"Monolith Trust Corp.","China","CHN","medium","CN3243443",454445,
20,"Evolution Bancorp","Italy","ITA","large","IT3423433",342343,
21,"Bastion Bank Corp.","Australia","AUS","medium","AU34343243",304323,
22,"Commonwealth Financial Services","Denmark","DNK","small","DK324434",234544,
23,"Repose Corporation","Cyprus","CYP","large","CY323434",323432,
24,"Flow Banks","China","CHN","large","CN3243443",454445,
25,"Origin Bank","Italy","ITA","large","IT3423433",342343,
26,"Miracle Banks","China","CHN","medium","CN3243443",454445,
27,"Jones Bank Corp.","Italy","ITA","large","IT3423433",342343,
