"iso3","cri_score_1999_2018"
"ALB",114.17
"DZA",92.5
"AGO",97
"ATG",58
"ARG",79.5
"ARM",145.17
"AUS",50.17
"AUT",55.67
"AZE",133.67
"BHR",171.83
"BGD",30
"BRB",141.67
"BLR",142
"BEL",63.83
"BLZ",48.5
"BEN",141
"BTN",97
"BOL",45.33
"BIH",70.17
"BWA",132.33
"BRA",83.17
"BRN",169.17
"BGR",70.83
"BFA",99.33
"BDI",73.67
"KHM",35.33
"CMR",133.83
"CAN",88.17
"CPV",143.5
"CAF",149.33
"TCD",100.83
"CHL",87.83
"CHN",55.5
"TWN",54.83
"COL",55.67
"COM",122.67
"CRI",88.17
"CIV",142.67
"HRV",48.33
"CYP",129.67
"CZE",79.67
"COD",125.83
"TLS",170.33
"DNK",112.83
"DJI",69.5
"DMA",32.33
"DOM",58.5
"ECU",92.83
"EGY",143.67
"SLV",42.5
"ERI",109.17
"EST",148.83
NA,103.5
"ETH",64.67
"FJI",37.17
"FIN",155.67
"FRA",38
"GAB",167.33
"GEO",94.17
"DEU",38.67
"GHA",102.5
"GRC",78.83
"GRD",39.83
"GTM",38.33
"GIN",161.33
"GNB",111.33
"GUY",107.17
"HTI",13.83
"HND",55
"HUN",69
"ISL",170.33
"IND",38.67
"IDN",76.83
"IRQ",141.33
"IRL",119.17
"AFG",41.83
"IRN",79
"ISR",120.5
"ITA",43.67
"JAM",64.83
"JPN",69.33
"JOR",116
"KAZ",142.83
"KEN",53.67
"KIR",116.17
"KOR",82.83
"KWT",152
"KGZ",109.33
"LAO",76.33
"LVA",83.83
"LBN",120
"LSO",106.5
"LBR",155.33
"LBY",158.83
"LTU",100.5
"LUX",97.17
"MDG",32.83
"MWI",77.83
"MYS",103.33
"MDV",169.17
"MLI",116.67
"MLT",152.83
"MHL",165
"MRT",78.5
"MUS",104.67
"MEX",61.83
NA,56.67
"MDA",86.17
"MNG",61.67
"MAR",100
"MOZ",37.5
"MMR",10.33
"NAM",66.67
"NPL",31.5
"NLD",71.83
"NZL",84.17
"NIC",53.83
"NER",74
"NGA",104.83
"MKD",100
"NOR",138.83
"OMN",41.17
"PAK",28.83
"PAN",106.5
"PNG",91.33
"PRY",73.5
"PER",58
"PHL",17.67
"POL",77.17
"PRT",38.83
"PRI",6.67
"QAT",173.67
"COG",151.5
"YEM",74.67
"ROU",53.17
"RUS",47.67
"RWA",102
"WSM",73.67
"SAU",102.17
"SEN",129.5
NA,73.33
"SYC",159.5
"SLE",85.67
"SGP",172.17
"SVK",108
"SVN",54.33
"SLB",70
"ZAF",77.33
"SSD",112.5
"ESP",47.33
"LKA",40.17
"KNA",113.5
"LCA",59.33
"VCT",59.83
"SDN",93
"SUR",166
"SWE",129.5
"CHE",52.33
"TJK",58.17
"TZA",114.33
"THA",31
"BHS",39.67
"GMB",81
"TGO",149.67
"TON",75.67
"TTO",150.17
"TUN",114.33
"TUR",115.17
"TUV",113.67
"UGA",69.33
"UKR",88
"ARE",158.33
"GBR",65
"USA",44.17
"URY",88.33
"UZB",162
"VUT",53.83
"VEN",66
"VNM",29.83
"ZMB",119.67
"ZWE",53.33
