"iso3","tot_weather_idp"
"AB9",2
"AFG",626354
"AGO",450977
"AIA",500
"ALB",11336
"ARE",845
"ARG",132058
"ASM",4600
"ATG",1468
"AUS",100541
"AUT",1254
"AZE",32255
"BDI",72262
"BEL",50
"BEN",517798
"BFA",234659
"BGD",6887951
"BGR",5313
"BHS",8637
"BIH",90941
"BLZ",4278
"BOL",339572
"BRA",1729767
"BRB",90
"BRN",145
"BTN",3545
"BWA",7942
"CAF",82534
"CAN",337931
"CHE",551
"CHL",98652
"CHN",59222928
"CIV",17749
"CMR",58775
"COD",506845
"COK",658
"COL",3360584
"COM",20050
"CPV",190
"CRI",39390
"CUB",5953344
"CYM",715
"CYP",48
"CZE",26450
"DEU",55276
"DJI",9365
"DMA",35971
"DOM",270889
"DZA",49271
"ECU",49697
"EGY",1128
"ERI",102
"ESP",43347
"ETH",1391052
"FIN",101
"FJI",147836
"FRA",43849
"FSM",6760
"GAB",4201
"GBR",34737
"GEO",3187
"GHA",247628
"GIN",43951
"GMB",39056
"GNB",6448
"GRC",12800
"GRD",173
"GRL",169
"GTM",268627
"GUM",2433
"GUY",363
"HKG",4910
"HND",112644
"HRV",19013
"HTI",511867
"HUN",1643
"IDN",2968988
"IND",39472845
"IRL",1685
"IRN",54440
"IRQ",98463
"ISL",50
"ISR",76190
"ITA",17103
"JAM",7080
"JOR",2579
"JPN",3442181
"KAZ",47021
"KEN",970987
"KGZ",5040
"KHM",674829
"KIR",2605
"KNA",33
"KOR",21345
"LAO",130020
"LBN",1452
"LBR",27717
"LBY",3000
"LCA",1330
"LKA",3119575
"LSO",12360
"LTU",0
"LVA",24
"MAC",5650
"MAF",10582
"MAR",21690
"MDA",200
"MDG",1018479
"MDV",96
"MEX",2138843
"MHL",1846
"MKD",1686
"MLI",93850
"MMR",5497504
"MNE",2552
"MNG",28298
"MNP",13938
"MOZ",788167
"MRT",12969
"MTQ",0
"MUS",5400
"MWI",521441
"MYS",568667
"NAM",147441
"NCL",622
"NER",1345043
"NGA",7851769
"NIC",168040
"NOR",1379
"NPL",783332
"NZL",8628
"OMN",10670
"PAK",14612823
"PAN",6895
"PER",622646
"PHL",38634858
"PLW",1651
"PNG",172455
"POL",30000
"PRI",86806
"PRK",548294
"PRT",8298
"PRY",322246
"PSE",23137
"PYF",4640
"ROU",15598
"RUS",130084
"RWA",71313
"SAU",17126
"SDN",1025835
"SEN",331564
"SLB",17680
"SLE",20253
"SLV",95384
"SOM",1715783
"SRB",36639
"SSD",664471
"SUR",6300
"SVK",274
"SVN",336
"SWE",1226
"SWZ",111
"SXM",12706
"SYC",1085
"SYR",31302
"TCA",110
"TCD",691532
"TGO",57167
"THA",3104898
"TJK",24171
"TKL",0
"TLS",3965
"TON",14423
"TTO",1029
"TUN",4460
"TUR",22828
"TUV",5435
"TWN",172314
"TZA",119104
"UGA",363448
"UKR",25726
"URY",51205
"USA",7296725
"VCT",2783
"VEN",186871
"VGB",6000
"VIR",2311
"VNM",2954225
"VUT",70579
"WSM",9180
"XKX",1010
"YEM",179299
"ZAF",133795
"ZMB",94293
"ZWE",78853
