"name","iso3","year","cumulative_emissions_total_fossil_fuels_and_cement_in_MtCO2e_2017"
"Afghanistan","AFG",2017,178.502925
"Africa",NA,2017,43117.573841
"Albania","ALB",2017,277.278189
"Algeria","DZA",2017,4107.869896
"Americas (other)",NA,2017,98641.159642
"Andorra","AND",2017,13.717377
"Angola","AGO",2017,623.762311
"Anguilla","AIA",2017,3.040078
"Antarctic Fisheries",NA,2017,0.153888
"Antigua and Barbuda","ATG",2017,21.756717
"Argentina","ARG",2017,7977.373398
"Armenia","ARM",2017,273.731872
"Aruba","ABW",2017,74.231827
"Asia and Pacific (other)",NA,2017,178057.272133
"Australia","AUS",2017,17360.810555
"Austria","AUT",2017,5303.713347
"Azerbaijan","AZE",2017,2471.780322
"Bahamas","BHS",2017,157.456745
"Bahrain","BHR",2017,826.530054
"Bangladesh","BGD",2017,1361.14718
"Barbados","BRB",2017,51.506565
"Belarus","BLR",2017,4058.119852
"Belgium","BEL",2017,12257.548524
"Belize","BLZ",2017,17.162217
"Benin","BEN",2017,98.792204
"Bermuda","BMU",2017,27.146704
"Bhutan","BTN",2017,13.76267
"Bolivia","BOL",2017,461.310418
"Bonaire Sint Eustatius and Saba","BES",2017,20.786824
"Bosnia and Herzegovina","BIH",2017,839.470358
"Botswana","BWA",2017,131.552447
"Brazil","BRA",2017,14190.90522
"British Virgin Islands","VGB",2017,4.416724
"Brunei","BRN",2017,335.970645
"Bulgaria","BGR",2017,3703.285889
"Burkina Faso","BFA",2017,50.218081
"Burundi","BDI",2017,10.72825
"Cambodia","KHM",2017,105.225247
"Cameroon","CMR",2017,194.766284
"Canada","CAN",2017,31913.521876
"Cape Verde","CPV",2017,11.572647
"Cayman Islands","CYM",2017,14.062432
"Central African Republic","CAF",2017,11.448062
"Chad","TCD",2017,14.410061
"Chile","CHL",2017,2657.499285
"China","CHN",2017,200136.494087
"Christmas Island","CXR",2017,1.330032
"Colombia","COL",2017,3110.040939
"Comoros","COM",2017,4.221082
"Congo","COG",2017,70.573384
"Cook Islands","COK",2017,2.044872
"Costa Rica","CRI",2017,231.692589
"Cote d'Ivoire","CIV",2017,303.413163
"Croatia","HRV",2017,981.746998
"Cuba","CUB",2017,1656.996984
"Curacao","CUW",2017,416.123737
"Cyprus","CYP",2017,270.926137
"Czech Republic","CZE",2017,8321.584468
"Czechoslovakia","OWID_CZS",2017,11241.448784
"Democratic Republic of Congo","COD",2017,186.868045
"Denmark","DNK",2017,3991.75337
"Djibouti","DJI",2017,19.174274
"Dominica","DMA",2017,3.92184
"Dominican Republic","DOM",2017,666.238638
"EU-28",NA,2017,352858.255784
"Ecuador","ECU",2017,1100.685365
"Egypt","EGY",2017,5561.231356
"El Salvador","SLV",2017,213.27998
"Equatorial Guinea","GNQ",2017,92.146727
"Eritrea","ERI",2017,16.336483
"Estonia","EST",2017,1147.762306
"Ethiopia","ETH",2017,207.190474
"Europe (other)",NA,2017,157540.186414
"Faeroe Islands","FRO",2017,28.54534
"Falkland Islands","FLK",2017,4.785184
"Fiji","FJI",2017,45.16083
"Finland","FIN",2017,3065.528408
"France","FRA",2017,37768.075471
"French Guiana","GUF",2017,21.36112
"French Polynesia","PYF",2017,27.182548
"Gabon","GAB",2017,245.703654
"Gambia","GMB",2017,12.030971
"Georgia","GEO",2017,593.121176
"Germany","DEU",2017,90565.630028
"Ghana","GHA",2017,316.321491
"Gibraltar","GIB",2017,11.380384
"Greece","GRC",2017,3884.49346
"Greenland","GRL",2017,30.246493
"Grenada","GRD",2017,7.33234
"Guadeloupe","GLP",2017,66.083904
"Guatemala","GTM",2017,404.420205
"Guinea","GIN",2017,77.269714
"Guinea-Bissau","GNB",2017,9.228086
"Guyana","GUY",2017,89.660737
"Haiti","HTI",2017,69.042835
"Honduras","HND",2017,229.623078
"Hong Kong","HKG",2017,1508.760365
"Hungary","HUN",2017,4870.99139
"Iceland","ISL",2017,141.492956
"India","IND",2017,48557.863281
"Indonesia","IDN",2017,12430.271016
"Iran","IRN",2017,16580.287145
"Iraq","IRQ",2017,3983.988823
"Ireland","IRL",2017,2112.667064
"Israel","ISR",2017,2221.239489
"Italy","ITA",2017,23645.999964
"Jamaica","JAM",2017,424.398054
"Japan","JPN",2017,62304.608199
"Jordan","JOR",2017,614.829331
"Kazakhstan","KAZ",2017,12300.616894
"Kenya","KEN",2017,410.113224
"Kiribati","KIR",2017,1.913895
"Kuwait","KWT",2017,2626.874527
"Kyrgysztan",NA,2017,0
"Kyrgyzstan","KGZ",2017,181.73418
"Laos","LAO",2017,36.077735
"Latvia","LVA",2017,618.492628
"Lebanon","LBN",2017,634.652476
"Lesotho","LSO",2017,56.424722
"Liberia","LBR",2017,47.905144
"Libya","LBY",2017,1951.955718
"Liechtenstein","LIE",2017,2.000665
"Lithuania","LTU",2017,1015.509983
"Luxembourg","LUX",2017,725.159607
"Macao","MAC",2017,51.947913
"Macedonia","MKD",2017,561.863099
"Madagascar","MDG",2017,83.6386
"Malawi","MWI",2017,43.051513
"Malaysia","MYS",2017,5181.419717
"Maldives","MDV",2017,19.836857
"Mali","MLI",2017,33.149434
"Malta","MLT",2017,97.461275
"Marshall Islands","MHL",2017,2.26604
"Martinique","MTQ",2017,70.172928
"Mauritania","MRT",2017,63.673149
"Mauritius","MUS",2017,102.339737
"Mexico","MEX",2017,18971.469004
"Micronesia (country)","FSM",2017,3.401355
"Middle East",NA,2017,60473.230861
"Moldova","MDA",2017,175.514617
"Mongolia","MNG",2017,536.837014
"Montenegro","MNE",2017,109.622459
"Montserrat","MSR",2017,1.539754
"Morocco","MAR",2017,1589.225046
"Mozambique","MOZ",2017,163.105098
"Myanmar","MMR",2017,484.208427
"Namibia","NAM",2017,63.941325
"Nauru","NRU",2017,4.678403
"Nepal","NPL",2017,115.699603
"Netherlands","NLD",2017,11308.449554
"New Caledonia","NCL",2017,133.507792
"New Zealand","NZL",2017,1779.162164
"Nicaragua","NIC",2017,160.721077
"Niger","NER",2017,44.106013
"Nigeria","NGA",2017,3372.735176
"Niue","NIU",2017,0.271579
"North Korea","PRK",2017,4966.052271
"Norway","NOR",2017,2585.216441
"Oman","OMN",2017,1071.49341
"Pakistan","PAK",2017,4360.589827
"Palau","PLW",2017,11.012245
"Palestine","PSE",2017,48.30434
"Panama","PAN",2017,270.033082
"Papua New Guinea","PNG",2017,152.482152
"Paraguay","PRY",2017,150.098368
"Peru","PER",2017,1857.299524
"Philippines","PHL",2017,2959.759692
"Poland","POL",2017,26848.816401
"Portugal","PRT",2017,2476.694776
"Qatar","QAT",2017,1878.554596
"Reunion","REU",2017,90.324928
"Romania","ROU",2017,8323.783409
"Russia","RUS",2017,100589.103947
"Rwanda","RWA",2017,25.185419
"Saint Helena","SHN",2017,0.346309
"Saint Kitts and Nevis","KNA",2017,5.660325
"Saint Lucia","LCA",2017,12.036657
"Saint Pierre and Miquelon","SPM",2017,3.596642
"Saint Vincent and the Grenadines","VCT",2017,6.228123
"Samoa","WSM",2017,6.445614
"Sao Tome and Principe","STP",2017,2.95482
"Saudi Arabia","SAU",2017,13843.097583
"Senegal","SEN",2017,203.710385
"Serbia","SRB",2017,2381.789224
"Seychelles","SYC",2017,14.863511
"Sierra Leone","SLE",2017,35.859969
"Singapore","SGP",2017,1936.584508
"Sint Maarten (Dutch part)","SXM",2017,46.502953
"Slovakia","SVK",2017,2730.069466
"Slovenia","SVN",2017,756.184328
"Solomon Islands","SLB",2017,7.165127
"Somalia","SOM",2017,31.190568
"South Africa","ZAF",2017,19787.369762
"South Korea","KOR",2017,15786.618228
"South Sudan","SSD",2017,29.721727
"Spain","ESP",2017,14136.085452
"Sri Lanka","LKA",2017,436.284059
"Sudan","SDN",2017,353.794293
"Suriname","SUR",2017,104.379605
"Swaziland","SWZ",2017,35.2883
"Sweden","SWE",2017,4858.725461
"Switzerland","CHE",2017,2918.791195
"Syria","SYR",2017,1762.385573
"Taiwan","TWN",2017,8050.965637
"Tajikistan","TJK",2017,287.46321
"Tanzania","TZA",2017,203.638082
"Thailand","THA",2017,7013.231542
"Timor","TLS",2017,4.729566
"Togo","TGO",2017,62.673116
"Tonga","TON",2017,3.965652
"Trinidad and Tobago","TTO",2017,1455.796378
"Tunisia","TUN",2017,808.028626
"Turkey","TUR",2017,9602.486274
"Turkmenistan","TKM",2017,2183.172085
"Turks and Caicos Islands","TCA",2017,3.318276
"Tuvalu","TUV",2017,0.256923
"Uganda","UGA",2017,95.05916
"Ukraine","UKR",2017,25796.386297
"United Arab Emirates","ARE",2017,4154.728973
"United Kingdom","GBR",2017,77071.055648
"United States","USA",2017,399378.341399
"Uruguay","URY",2017,353.071942
"Uzbekistan","UZB",2017,6034.28583
"Vanuatu","VUT",2017,4.31506
"Venezuela","VEN",2017,7571.193371
"Vietnam","VNM",2017,3016.099138
"Wallis and Futuna Islands",NA,2017,0.429573
"World","OWID_WRL",2017,1575244.297629
"Yemen","YEM",2017,619.432763
"Zambia","ZMB",2017,187.3686
"Zimbabwe","ZWE",2017,701.987856
