"iso3","emissions_total_fossil_fuels_and_cement_including LUCF_in_MtCO2e_2016"
"CHN",11576.87
"USA",5833.49
"IND",3235.66
"RUS",2391.38
"IDN",2229
"BRA",1379.38
"JPN",1263.87
"IRN",867.96
"DEU",808.73
"CAN",779.27
"MEX",688.38
"SAU",663.58
"KOR",657.4
"AUS",519.09
"ZAF",497.39
"ZMB",493.99
"ARG",482.08
"NGA",481.02
"GBR",461.54
"THA",417.24
"PAK",403.67
"TUR",395.95
"ITA",369.63
"VEN",350.12
"POL",349.76
"FRA",329.6
"TZA",319.46
"VNM",314.27
"EGY",310.42
"KAZ",289.02
"ESP",283.8
"UKR",283.72
"ARE",259.22
"COL",232
"COD",224.84
"MMR",219.53
"DZA",210.09
"BGD",209.58
"CMR",208.38
"UZB",194.67
"PRY",194.59
"IRQ",191.41
"ETH",188.66
"NLD",186.98
"AGO",180.12
"PER",168.85
"MYS",161.04
"SDN",151.68
"BOL",150.94
"PHL",149.41
"TKM",126.17
"KWT",111.99
"CZE",111.77
"BEL",107.35
"TCD",101.97
"ECU",98.59
"AFG",96.59
"QAT",92.26
"ISR",90.08
"MAR",88.05
"LBY",87.45
"GRC",86.36
"UGA",81.07
"BLR",80.7
"MOZ",76.12
"OMN",75.98
"CAF",75.73
"AZE",73.98
"AUT",71.85
"BWA",69.99
"PRT",69.39
"MNG",67.6
"ZWE",65.98
"IRL",65.58
"PRK",65.55
"KHM",65.43
"PNG",63.85
"SGP",63.25
"FIN",63.16
"NZL",63.13
"SRB",62.86
"HUN",61.28
"NPL",61.25
"MDG",58.85
"HND",51.48
"GHA",51.04
"COG",49.77
"KEN",47.77
"MLI",47.47
"LAO",47.28
"BHR",47.07
"CHE",46.72
"DNK",46.66
"SWE",46.23
"GIN",45.6
"SYR",45.38
"BGR",44.07
"GTM",43.79
"NER",42.71
"SOM",40.25
"TUN",39.41
"BFA",38.63
"GUY",37.42
"LKA",37.32
"JOR",35.72
"SEN",34.99
"SVK",33.53
"LBN",31.39
"CIV",31.17
"DOM",28.9
"BIH",27.25
"CUB",27.24
"PAN",26.94
"URY",26.58
"BEN",26.53
"TTO",25.93
"NOR",23.81
"YEM",23.57
"GNQ",23.22
"MWI",21.2
"NIC",20.64
"NAM",20.41
"EST",20.38
"HRV",18.94
"LTU",17.71
"GEO",17.23
"BRN",16.8
"KGZ",16
"TGO",15.37
"SLE",13.59
"SLV",13.48
"TJK",13.32
"MDA",11.84
"MRT",11.4
"SVN",10.99
"LBR",10.54
"MKD",10.39
"HTI",10.04
"LUX",9.77
"JAM",9.6
"ARM",9.46
"ALB",9.19
"CYP",8.26
"ERI",7.96
"BDI",7.74
"RWA",7.59
"SUR",7.34
"MUS",6.48
"BLZ",4.86
"CRI",4.63
"BRB",4.35
"GNB",4.21
"BHS",3.97
"CHL",3.74
"LSO",3.67
"MNE",3.42
"ISL",3.19
"SLB",2.73
"GMB",2.4
"GRD",2.32
"DJI",2.08
"MDV",2.02
"MLT",1.92
"ATG",1.38
"SYC",1.3
"FJI",0.96
"CPV",0.93
"VUT",0.83
"LCA",0.81
"WSM",0.7
"COM",0.6
"DMA",0.38
"KNA",0.37
"VCT",0.33
"TON",0.29
"STP",0.2
"COK",0.11
"AND",0.1
"NRU",0.08
"KIR",0.08
"NIU",0.06
"LIE",0.04
"MHL",0.04
"PLW",0.03
"TUV",0.01
"BTN",-1.82
"LVA",-2.33
"ROU",-58.63
"GAB",-84.96
